Country Name,Country Code,Series Name,Series Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
United States,USA,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,0.5,0.7,1.2,1.2,1,1.2,1,1,0.2,0.2,..,..
United States,USA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,12.49002552,16.19919777,16.49056816,16.80215836,16.76750183,16.62964439,16.66580582,18.75621986,17.3625679,16.57115173,..
United States,USA,Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,..,685.39554509,1058.30804163,1089.01865233,1118.35096228,1130.68664557,1164.60193191,1205.28419713,1167.73456261,1285.33004727,..,..
United States,USA,Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,..,15.11737442,11.98743725,11.77453041,11.64962196,11.41782665,11.32823181,11.30830574,9.93104649,10.70016861,..,..
United States,USA,Proportion of population pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),SH.UHC.NOP1.ZS,..,0.01,0,0,0,0,0,0,0,0,..,..
United States,USA,Proportion of population pushed below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),SH.UHC.NOP2.ZS,..,0,0,0,0,0,0,0,0,0,..,..
United States,USA,Proportion of population pushed further below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),SH.UHC.FBP2.ZS,..,0.03,0.01,0.03,0.06,0,0,0,0,0,..,..
United States,USA,Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%),SH.UHC.OOPC.10.ZS,..,5.94,4.9,4.4,4.47,4.5,4.51,4.35,3.98,4.61,..,..
United States,USA,Proportion of population pushed further below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),SH.UHC.FBP1.ZS,..,0,0,0,0,0,0,0,0,0,..,..
United States,USA,Risk of catastrophic expenditure for surgical care (% of people at risk),SH.SGR.CRSK.ZS,..,..,0.8,0.7,0.6,0.6,0.6,0.6,0.3,0.3,0.3,..
United States,USA,Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%),SH.UHC.OOPC.25.ZS,..,1.08,0.74,0.77,0.66,0.73,0.77,0.74,0.73,0.89,..,..
United States,USA,Risk of impoverishing expenditure for surgical care (% of people at risk),SH.SGR.IRSK.ZS,..,..,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.2,0.2,..
United States,USA,Proportion of population pushed below the 60% median consumption poverty line by out-of-pocket health expenditure (%),SH.UHC.NOPR.ZS,..,1.31,1.01,0.76,0.66,0.76,0.79,0.72,0.58,0.62,..,..
United States,USA,Proportion of population pushed further below the 60% median consumption poverty line by out-of-pocket health care expenditure (%),SH.UHC.FBPR.ZS,..,9.23,8.44,7.43,7.68,7.83,8.51,8.12,7.36,7.57,..,..
United States,USA,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,18.2,17.5,17,17.2,18,18.2,18.2,18.5,17,15.5,..,..
United States,USA,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,19.7,18.7,18.7,18.7,19.2,19.7,19.5,19.5,18.2,16.7,..,..
United States,USA,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..,..,..
United States,USA,Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),SI.POV.LMIC,0.7,1,1.5,1.2,1.2,1.5,1.2,1.2,0.5,0.5,..,..
United States,USA,Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),SI.POV.UMIC,1.5,1.5,2,2.2,2,2,1.7,1.7,1.2,1,..,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 06/28/2024,,,,,,,,,,,,,,,
