DATE,ATNHPIUS
1/1/75,16.91
1/1/76,20.46
1/1/77,25.17
1/1/78,30.2
1/1/79,35.67
1/1/80,41.86
1/1/81,45.26
1/1/82,40.03
1/1/83,47.5
1/1/84,49
1/1/85,51.76
1/1/86,55.43
1/1/87,61.53
1/1/88,74.92
1/1/89,93.82
1/1/90,98.38
1/1/91,96.45
1/1/92,94.36
1/1/93,87.5
1/1/94,82.36
1/1/95,78.62
1/1/96,77.89
1/1/97,78.95
1/1/98,86.69
1/1/99,91.84
1/1/00,100
1/1/01,109.68
1/1/02,123.5
1/1/03,138.67
1/1/04,172.78
1/1/05,219.47
1/1/06,255.34
1/1/07,253.85
1/1/08,208.17
1/1/09,175.88
1/1/10,174.33
1/1/11,166.07
1/1/12,165.26
1/1/13,180.41
1/1/14,204.42
1/1/15,215.92
1/1/16,232.25
1/1/17,248.16
1/1/18,264.82
1/1/19,274.07
1/1/20,281.48
1/1/21,313.89
1/1/22,362.6
1/1/23,375.2
