,index,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,Housing prices LA,254.0,208.0,176.0,174.0,166.0,165.0,180.0,204.0,216.0,232.0,248.0,265.0,274.0,281.0,314.0,363.0,375.0
1,Unemployment rate LA,5.1,7.5,11.7,12.6,12.2,11.0,9.8,8.2,6.7,5.3,4.8,4.7,4.5,12.4,9.0,5.0,5.0
2,Obama ACA Indicator,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
3,"CPI California, Urban Consumers",217.0,225.0,224.0,227.0,233.0,238.0,242.0,246.0,250.0,255.0,263.0,273.0,281.0,285.0,297.0,319.0,332.0
4,"Healthcare Cost, California",209334.0,220894.0,229415.0,241845.0,253703.0,267048.0,277008.0,288330.0,311146.0,325931.0,338088.0,357648.0,379715.0,405451.0,426104.67394,447810.4460305036,470621.91015129746
5,CA unemployment rate,5.3083333333333333,7.3000000000000000,11.5416666666666667,12.4583333333333333,11.8916666666666667,10.5250000000000000,9.0333333333333333,7.5666666666666667,6.2250000000000000,5.5166666666666667,4.8333333333333333,4.2583333333333333,4.1000000000000000,10.1916666666666667,7.3250000000000000,4.2750000000000000,4.7416666666666667
6,CA Housing prices,608.285,486.74,421.2925,408.63,387.325,388.39,435.8875,487.855,522.49,559.445,596.04,634.745,655.27,683.09,779.145,900.0,915.81
7,Overall Homeless CA,138986.0,181399.0,171521.0,57468.0,161548.0,151278.0,129972.0,131532.0,118142.0,115738.0,113952.0,118552.0,120098.0,125128.0,123480.0,123678.0,136531.0
0,CA-500,9903.0,10028.0,2301.0,9605.0,9706.0,7254.0,7394.0,6524.0,6556.0,7567.0,7631.0,7053.0,7067.0,7086.0,7086.0,7202.0,7202.0
1,CA-501,7582.0,7754.0,4000.0,8124.0,8035.0,6857.0,6858.0,6996.0,6775.0,6408.0,7008.0,5895.0,5669.0,5823.0,5823.0,5171.0,5703.0
2,CA-502,9759.0,9747.0,2546.0,8137.0,8022.0,5496.0,5629.0,4145.0,4040.0,4272.0,4264.0,4257.0,4178.0,4341.0,4341.0,4838.0,4838.0
3,CA-503,9281.0,9278.0,1885.0,5511.0,5561.0,3621.0,3665.0,2500.0,2659.0,2449.0,2538.0,2812.0,2376.0,2734.0,2800.0,2615.0,2452.0
4,CA-504,2266.0,2893.0,787.0,2745.0,2951.0,2996.0,2835.0,2906.0,3097.0,4266.0,4280.0,4483.0,4541.0,3345.0,3247.0,1314.0,1314.0
5,CA-505,2372.0,3093.0,820.0,2277.0,2295.0,2234.0,1607.0,1730.0,2031.0,2009.0,2000.0,2386.0,2415.0,2759.0,2759.0,4062.0,4062.0
6,CA-506,2212.0,2404.0,678.0,2683.0,2704.0,3299.0,3364.0,3022.0,2959.0,2962.0,2955.0,2673.0,2699.0,2407.0,2407.0,1402.0,1402.0
7,CA-507,1118.0,1121.0,225.0,1032.0,1034.0,1095.0,1117.0,1258.0,1318.0,679.0,676.0,725.0,862.0,1026.0,1026.0,1002.0,1002.0
8,CA-508,1804.0,2299.0,800.0,2256.0,2167.0,2320.0,2249.0,1959.0,1964.0,3529.0,3536.0,2735.0,2771.0,2265.0,2265.0,2789.0,2789.0
9,CA-509,633.0,830.0,318.0,751.0,785.0,880.0,1238.0,1242.0,947.0,1404.0,1392.0,1441.0,1456.0,1202.0,1202.0,1423.0,1422.0
10,CA-510,2091.0,1857.0,2927.0,2107.0,1923.0,1356.0,1661.0,1434.0,1408.0,1156.0,1201.0,1470.0,1434.0,1800.0,1800.0,1593.0,1593.0
11,CA-511,2454.0,2319.0,885.0,2677.0,2631.0,1685.0,1542.0,1780.0,1708.0,1588.0,1541.0,1569.0,2540.0,3005.0,3005.0,2354.0,2479.0
12,CA-512,1859.0,1808.0,621.0,1572.0,1512.0,1238.0,1253.0,1361.0,1483.0,2024.0,1995.0,1845.0,1926.0,1424.0,1567.0,1798.0,1798.0
13,CA-513,1470.0,1235.0,494.0,1297.0,1064.0,967.0,853.0,792.0,862.0,763.0,705.0,771.0,804.0,966.0,966.0,1040.0,1106.0
14,CA-514,4493.0,4216.0,999.0,3641.0,2508.0,2144.0,2016.0,1883.0,1722.0,2592.0,3131.0,4492.0,5135.0,4288.0,4345.0,3507.0,4247.0
15,CA-515,709.0,750.0,708.0,744.0,617.0,950.0,979.0,1021.0,796.0,762.0,908.0,742.0,821.0,1054.0,1054.0,587.0,587.0
16,CA-516,2521.0,1837.0,792.0,1529.0,1349.0,1149.0,934.0,1272.0,591.0,630.0,851.0,524.0,527.0,336.0,340.0,263.0,296.0
17,CA-517,506.0,495.0,200.0,464.0,322.0,322.0,315.0,317.0,293.0,285.0,245.0,248.0,230.0,314.0,314.0,365.0,365.0
18,CA-518,1200.0,1179.0,397.0,1162.0,1151.0,1129.0,1232.0,1118.0,1082.0,1295.0,1329.0,622.0,569.0,829.0,829.0,1956.0,1956.0
19,CA-519,1237.0,1006.0,499.0,1274.0,1266.0,1125.0,1195.0,574.0,571.0,696.0,712.0,897.0,897.0,742.0,689.0,592.0,1478.0
20,CA-520,784.0,855.0,835.0,636.0,608.0,514.0,454.0,516.0,898.0,768.0,372.0,502.0,486.0,372.0,372.0,2455.0,2641.0
21,CA-521,737.0,746.0,373.0,641.0,655.0,448.0,459.0,532.0,498.0,442.0,474.0,513.0,468.0,491.0,491.0,414.0,414.0
22,CA-522,1656.0,1648.0,272.0,1701.0,1702.0,703.0,759.0,1134.0,1180.0,932.0,864.0,846.0,861.0,1355.0,1355.0,907.0,907.0
23,CA-523,360.0,340.0,140.0,261.0,192.0,268.0,176.0,115.0,136.0,567.0,696.0,303.0,322.0,197.0,197.0,193.0,155.0
24,CA-524,963.0,1094.0,1074.0,721.0,721.0,765.0,760.0,702.0,716.0,726.0,1485.0,492.0,649.0,512.0,411.0,594.0,362.0
25,CA-525,491.0,511.0,99.0,663.0,613.0,645.0,602.0,269.0,269.0,195.0,180.0,217.0,170.0,146.0,146.0,150.0,107.0
